Train,5-13/57,5/73,5-22/77,5-12/79 (A),5/87,5/97
Train type,DC,DC,DC,DC,AUT,DC
TUNIS VILLE,07:25,13:05,14:45,15:15,17:20,21:15
HAMMAM LIF,07:55,,,15:45,17:50,
BORJ CEDRIA,,,,16:09,18:01,
GROMBALIA,08:19,13:56,15:36,16:09,18:14,
BOU ARGPOUB,,,,16:18,18:23,
BIR BOU REGBA,08:38,14:13,15:54,16:29,18:34,22:24
BOUFICHA,08:53,14:27,,16:46,18:49,
ENFIDHA,09:08,14:41,16:22,17:03,19:06,
KALAA KEBIRA,09:35,15:08,,17:33,19:34,
KALAA SEGHIRA,,15:16,16:56,17:42,19:43,
SOUSSE ARRIVEE,09:56,,17:08,17:54,19:55,23:36
SOUSSE DEPART,10:11,,17:17,,20:05,23:50
MESSADINE,10:30,15:23,17:36,,20:23,
MONASTIR,,,18:15,,,
MAHDIA,,,19:21,,,
KERKER,,15:50,,,,00:58
EL JEM,11:22,16:12,,,21:13,
LA HENCHA,,16:28,,,,
SAKIET EZZIT,,16:53,,,21:53,
SFAX ARRIVEE,12:31,17:17,,,22:18,01:57
SFAX DEPART,13:00,17:25,,,,02:15
MAHARES,13:39,18:00,,,,02:49
GHRAIBA,14:00,18:20,,,,03:09
GABES,,19:36,,,,04:25
MAKNASSY,14:59,,,,,
SENED,15:35,,,,,
GAFSA,16:30,,,,,
METLAOUI,17:35,,,,,
EL OUEDIENTE,18:18,,,,,
TOZEUR,18:30,,,,,
