Train;8;12;14;TM2(B)
Train type;DC;DC;AUT;DC
ANNABA;;;;09:00
SOUK AHRAS* ARRIVEE;;;;11:10
SOUK AHRAS* DEPART;;;;12:10
GHARDIMAOU* ARRIVEE;;;;13:21
GHARDIMAOU* DEPART;04:25;08:35;12:10;14:50
OUED MELIZ;04:34;08:44;12:19;
JENDOUBA;04:53;09:05;12:40;15:18
BEN BECHIR;05:05;09:17;12:52;
BOUSALEM;05:18;09:31;13:05;
SIDI S'MAIL;05:33;09:46;13:20;
MASTOUTA;05:42;09:55;13:29;
BEJA;05:56;10:08;13:42;16:17
SIDI M'HIMECH;06:12;10:26;13:58;
OUED ZARGA;06:29;10:45;14:16;
MEJEZ EL BAB;06:46;11:03;14:33;
BORJ TOUM;07:01;11:19;;
TEBOURBA;07:21;11:41;15:09;
JEDEIDA;07:35;11:54;15:20;
MANOUBA;07:58;12:21;15:44;
TUNIS VILLE;08:17;12:40;16:04;18:30
