Days;Train;BOUGATFA;ELHRAYRIA;EZZOUHOUR 2;ETAYARANE;ENNAJAH;SAYDA MANOUBIA;TUNIS 
-;402;5:00;5:02;5:04;5:07;5:09;5:11;5:15
-;404;5:20;5:22;5:24;5:27;5:29;5:31;5:35
A;406;5:40;5:42;5:44;5:47;5:49;5:51;5:55
B;408;5:50;5:52;5:54;5:57;5:59;6:01;6:05
A;410;6:00;6:02;6:04;6:07;6:09;6:11;6:15
-;412;6:20;6:22;6:24;6:27;6:29;6:31;6:35
A;414;6:40;6:42;6:44;6:47;6:49;6:51;6:55
B;416;6:50;6:52;6:54;6:57;6:59;7:01;7:05
A;418;7:00;7:02;7:04;7:07;7:09;7:11;7:15
-;420;7:20;7:22;7:24;7:27;7:29;7:31;7:35
A;422;7:40;7:42;7:44;7:47;7:49;7:51;7:55
B;424;7:50;7:52;7:54;7:57;7:59;8:01;8:05
A;426;8:00;8:02;8:04;8:07;8:09;8:11;8:15
-;428;8:20;8:22;8:24;8:27;8:29;8:31;8:35
A;430;8:40;8:42;8:44;8:47;8:49;8:51;8:55
B;432;8:50;8:52;8:54;8:57;8:59;9:01;9:05
A;434;9:00;9:02;9:04;9:07;9:09;9:11;9:15
-;436;9:20;9:22;9:24;9:27;9:29;9:31;9:35
A;438;9:40;9:42;9:44;9:47;9:49;9:51;9:55
B;440;9:50;9:52;9:54;9:57;9:59;10:01;10:05
A;442;10:00;10:02;10:04;10:07;10:09;10:11;10:15
-;444;10:20;10:22;10:24;10:27;10:29;10:31;10:35
A;446;10:40;10:42;10:44;10:47;10:49;10:51;10:55
B;448;10:50;10:52;10:54;10:57;10:59;11:01;11:05
A;450;11:00;11:02;11:04;11:07;11:09;11:11;11:15
-;452;11:20;11:22;11:24;11:27;11:29;11:31;11:35
A;454;11:40;11:42;11:44;11:47;11:49;11:51;11:55
B;456;11:50;11:52;11:54;11:57;11:59;12:01;12:05
A;458;12:00;12:02;12:04;12:07;12:09;12:11;12:15
-;460;12:20;12:22;12:24;12:27;12:29;12:31;12:35
A;462;12:40;12:42;12:44;12:47;12:49;12:51;12:55
B;464;12:50;12:52;12:54;12:57;12:59;13:01;13:05
A;466;13:00;13:02;13:04;13:07;13:09;13:11;13:15
-;468;13:20;13:22;13:24;13:27;13:29;13:31;13:35
A;470;13:40;13:42;13:44;13:47;13:49;13:51;13:55
B;472;13:50;13:52;13:54;13:57;13:59;14:01;14:05
A;474;14:00;14:02;14:04;14:07;14:09;14:11;14:15
-;476;14:20;14:22;14:24;14:27;14:29;14:31;14:35
A;478;14:40;14:42;14:44;14:47;14:49;14:51;14:55
B;480;14:50;14:52;14:54;14:57;14:59;15:01;15:05
A;482;15:00;15:02;15:04;15:07;15:09;15:11;15:15
-;484;15:20;15:22;15:24;15:27;15:29;15:31;15:35
A;486;15:40;15:42;15:44;15:47;15:49;15:51;15:55
B;488;15:50;15:52;15:54;15:57;15:59;16:01;16:05
A;490;16:00;16:02;16:04;16:07;16:09;16:11;16:15
-;492;16:20;16:22;16:24;16:27;16:29;16:31;16:35
A;494;16:40;16:42;16:44;16:47;16:49;16:51;16:55
B;496;16:50;16:52;16:54;16:57;16:59;17:01;17:05
A;498;17:00;17:02;17:04;17:07;17:09;17:11;17:15
-;500;17:20;17:22;17:24;17:27;17:29;17:31;17:35
A;502;17:40;17:42;17:44;17:47;17:49;17:51;17:55
B;504;17:50;17:52;17:54;17:57;17:59;18:01;18:05
A;506;18:00;18:02;18:04;18:07;18:09;18:11;18:15
-;508;18:20;18:22;18:24;18:27;18:29;18:31;18:35
-;510;18:50;18:52;18:54;18:57;18:59;19:01;19:05
-;512;19:20;19:22;19:24;19:27;19:29;19:31;19:35
-;514;19:50;19:52;19:54;19:57;19:59;20:01;20:05
-;516;20:20;20:22;20:24;20:27;20:29;20:31;20:35
-;518;20:50;20:52;20:54;20:57;20:59;21:01;21:05
-;520;21:20;21:22;21:24;21:27;21:29;21:31;21:35
-;522;21:50;21:52;21:54;21:57;21:59;22:01;22:05
-;524;22:20;22:22;22:24;22:27;22:29;22:31;22:35
