Days,Train,ERRIADH,BORJ CEDRIA,BIR EL BEY,HAMMAM LIF,TAHAR SFAR,ARRET DU STADE,HAMMAM LIF,BOU KORNIIN,LYCEE EZZAHRA,EZ-ZAHRA,RADES MELIANE,RADES,LYCEE RADES,SIDI REZIG,MEGRINE RYADH,MEGRINE JELLOULI,JEBEL JELLOULI,TUNIS VILLE
A,102,4:25,4:30,4:34,4:36,4:39,4:42,4:45,4:48,4:50,4:52,4:56,4:59,,5:04,5:07,5:09,5:12,5:22
-,108,5:00,5:05,5:09,5:11,5:13,5:16,5:19,5:21,5:23,5:25,5:29,5:32,,5:37,5:39,5:41,5:44,5:54
A,110,5:30,5:36,5:40,5:42,5:45,5:48,5:51,5:54,5:56,5:58,6:02,6:05,,6:11,6:13,6:15,6:18,6:28
B,112,5:40,5:45,5:49,5:51,5:54,5:57,6:01,6:03,6:05,6:08,6:12,6:15,,6:20,6:22,6:24,6:27,6:37
A,114,5:50,5:55,5:59,6:00,6:03,6:06,6:09,6:11,6:13,6:16,6:20,6:23,6:25,6:28,6:31,6:33,6:36,6:47
-,118,6:10,6:15,6:19,6:21,6:24,6:27,6:30,6:33,6:35,6:37,6:41,6:44,6:47,6:50,6:52,6:54,6:57,7:07
A,120,6:20,6:25,6:29,6:31,6:34,6:37,6:40,6:43,6:45,6:47,6:51,6:54,6:57,7:00,7:02,7:04,7:07,7:17
-,124,6:40,6:46,6:50,6:52,6:55,6:58,7:01,7:03,7:05,7:08,7:12,7:15,7:17,7:20,7:23,7:25,7:28,7:37
C,126,6:50,6:55,6:59,7:01,7:03,7:06,7:09,7:11,7:13,7:15,7:19,7:23,,,,,,7:41
A,128,7:05,7:10,7:14,7:16,7:19,7:22,7:25,7:27,7:29,7:32,7:36,7:39,7:42,7:45,7:47,7:49,7:52,8:02
B,130,7:10,7:15,7:19,7:21,7:24,7:27,7:30,7:33,7:35,7:37,7:41,7:44,7:47,7:50,7:52,7:54,7:57,8:06
A,134,7:25,7:30,7:34,7:36,7:38,7:41,7:45,7:48,7:50,7:52,7:56,7:59,8:01,8:04,8:06,8:08,8:11,8:22
B,136,7:40,7:47,7:51,7:52,7:55,7:58,8:01,8:03,8:05,8:08,8:12,8:15,8:17,8:20,8:23,8:25,8:28,8:37
A,138,7:50,7:55,7:59,8:01,8:04,8:07,8:10,8:13,8:15,8:17,8:21,8:24,,8:29,8:32,8:34,8:37,8:47
-,140,8:10,8:15,8:19,8:21,8:24,8:27,8:30,8:33,8:35,8:37,8:41,8:44,8:47,8:50,8:52,8:54,8:57,9:06
A,144,8:40,8:45,8:49,8:51,8:54,8:57,9:03,9:05,9:07,9:10,9:14,9:17,9:19,9:22,9:25,9:27,9:30,9:39
-,150,9:10,9:15,9:19,9:21,9:24,9:27,9:30,9:33,9:35,9:37,9:41,9:44,9:47,9:50,9:52,9:54,9:57,10:06
A,156,9:40,9:45,9:49,9:51,9:54,9:57,10:00,10:03,10:05,10:07,10:11,10:14,10:17,10:20,10:22,10:24,10:27,10:36
-,162,10:10,10:15,10:19,10:21,10:24,10:27,10:30,10:33,10:35,10:37,10:41,10:44,,10:49,10:52,10:54,10:57,11:06
A,164,10:30,10:35,10:39,10:41,10:44,10:47,10:50,10:53,10:55,10:57,11:01,11:04,,11:09,11:12,11:14,11:17,11:27
B,166,10:40,10:45,10:49,10:51,10:54,10:57,11:00,11:03,11:05,11:07,11:11,11:14,11:17,11:20,11:22,11:24,11:27,11:36
A,170,10:50,10:55,10:59,11:01,11:04,11:07,11:10,11:13,11:15,11:17,11:21,11:24,,11:29,11:32,11:34,11:36,11:47
-,174,11:10,11:15,11:19,11:21,11:24,11:27,11:30,11:33,11:35,11:37,11:41,11:44,,11:49,11:52,11:54,11:56,12:07
A,178,11:30,11:35,11:39,11:41,11:44,11:47,11:50,11:53,11:55,11:57,12:01,12:04,,12:09,12:12,12:14,12:16,12:27
A,180,11:40,11:45,11:49,11:51,11:54,11:57,12:00,12:03,12:05,12:07,12:11,12:14,12:17,12:19,12:21,12:24,12:27,12:36
A,182,12:00,12:05,12:09,12:11,12:14,12:17,12:19,12:23,12:25,12:27,12:31,12:34,,12:39,12:42,12:44,12:47,12:57
B,186,12:10,12:15,12:18,12:20,12:24,12:27,12:30,12:33,12:35,12:37,12:41,12:44,12:47,12:50,12:52,12:54,12:57,13:08
A,190,12:30,12:35,12:38,12:39,12:41,12:43,12:46,12:48,12:50,12:52,12:54,12:57,,13:01,13:03,13:05,13:08,13:17
B,192,12:40,12:45,12:49,12:51,12:54,12:57,13:01,13:03,13:05,13:08,13:12,13:15,13:18,13:21,13:23,13:25,13:28,13:38
A,194,12:50,12:55,12:59,13:01,13:03,13:06,13:10,13:13,13:15,13:17,13:21,13:24,13:27,13:30,13:32,13:34,13:37,13:47
-,198,13:10,13:15,13:19,13:21,13:24,13:27,13:31,13:33,13:35,13:37,13:40,13:43,,13:47,13:50,13:53,13:56,14:07
A,202,13:25,13:30,13:34,13:36,13:38,13:41,13:44,,,13:48,,13:55,,,,,,14:14
-,204,13:40,13:45,13:49,13:51,13:55,13:58,14:01,14:03,14:05,14:08,14:12,14:15,14:17,14:20,14:23,14:25,14:28,14:38
A,206,13:49,13:55,14:00,14:02,14:05,14:08,14:11,,,14:16,,14:22,,,,,,14:41
B,208,14:00,14:05,14:09,14:11,14:14,14:17,14:20,14:23,14:25,14:27,14:31,14:33,14:36,14:40,14:42,14:44,,14:57
A,210,14:10,14:15,14:19,14:21,14:24,14:27,14:30,14:32,14:32,14:35,14:40,14:43,14:45,14:48,14:50,14:52,14:55,15:04
A,212,14:25,14:30,14:33,14:35,14:39,14:42,14:45,14:48,14:50,14:52,14:56,14:59,,15:04,15:07,15:09,15:12,15:21
B,214,14:40,14:45,14:49,14:51,14:54,14:57,15:00,15:03,15:05,15:07,15:11,15:14,15:17,15:19,15:21,15:24,,15:37
A,218,14:45,14:50,14:54,14:56,14:59,15:02,15:05,15:08,15:10,15:12,15:16,15:18,15:21,15:25,15:27,15:29,15:32,15:42
-,220,15:10,15:15,15:18,15:21,15:25,15:28,15:31,15:33,15:35,15:38,15:42,15:45,,15:50,15:52,15:55,15:58,16:06
-,222,15:40,15:45,15:49,15:51,15:54,15:57,16:04,16:06,16:09,16:12,16:16,16:19,16:21,16:24,16:27,16:29,16:32,16:41
A,224,16:10,16:15,16:19,16:21,16:24,16:27,16:30,16:33,16:35,16:37,16:41,16:44,,16:48,16:51,16:54,16:57,17:07
-,226,16:40,16:45,16:48,16:50,16:54,16:57,17:00,17:03,17:05,17:07,17:11,17:14,17:17,17:20,17:22,17:24,17:27,17:36
-,228,17:10,17:15,17:19,17:21,17:24,17:27,17:30,17:32,17:34,17:36,17:41,17:44,17:47,17:50,17:52,17:54,17:57,18:06
-,230,17:40,17:45,17:49,17:51,17:54,17:57,18:00,18:03,18:05,18:07,18:11,18:14,18:17,18:19,18:21,18:24,18:27,18:37
-,232,18:10,18:15,18:18,18:20,18:24,18:27,18:30,18:33,18:35,18:37,18:41,18:44,,18:49,18:52,18:54,18:57,19:07
-,234,18:40,18:45,18:49,18:51,18:54,18:57,19:00,19:03,19:05,19:07,19:11,19:14,,19:19,19:22,19:24,19:27,19:38
