Train,GOBAA VILLE,GOBAA,LES ORANGERS,MANOUBA,ELBORTAL,LE BARDO,ERRAOUDHA,MELLASSINE,SAYDA MANOUBIA,TUNIS
602,4:35,4:39,4:42,4:44,4:46,4:50,4:56,4:58,5:01,5:05
604,5:20,5:26,5:28,5:31,5:33,5:37,5:43,5:45,5:48,5:52
606,5:50,5:55,5:57,6:00,6:02,6:06,6:12,6:14,6:17,6:21
608,6:40,6:47,6:49,6:52,6:54,6:58,7:04,7:06,7:08,7:12
610,7:25,7:32,7:34,7:37,7:39,7:43,7:49,7:51,7:54,7:58
612,7:50,7:56,7:58,8:01,8:03,8:07,8:13,8:15,8:18,8:22
614,8:35,8:43,8:45,8:48,8:50,8:54,9:00,9:02,9:05,9:09
616,9:20,9:25,9:27,9:30,9:32,9:36,9:42,9:44,9:47,9:51
618,10:10,10:17,10:19,10:22,10:24,10:28,10:34,10:36,10:39,10:43
620,10:50,10:57,10:59,11:02,11:04,11:08,11:14,11:16,11:19,11:23
622,11:30,11:37,11:39,11:42,11:44,11:48,11:54,11:56,11:59,12:03
624,12:15,12:21,12:23,12:26,12:28,12:32,12:38,12:40,12:43,12:47
628,13:10,13:18,13:20,13:23,13:25,13:29,13:35,13:37,13:40,13:44
630,13:50,13:58,14:00,14:02,14:05,14:08,14:14,14:16,14:18,14:22
632,14:30,14:36,14:38,14:41,14:43,14:47,14:53,14:54,14:57,15:01
634,15:15,15:23,15:25,15:30,15:32,15:36,15:42,15:44,15:46,15:50
638,16:10,16:17,16:19,16:22,16:24,16:28,16:34,16:36,16:39,16:43
640,17:05,17:12,17:14,17:17,17:19,17:23,17:29,17:31,17:34,17:38
642,18:05,18:11,18:13,18:16,18:18,18:22,18:29,18:31,18:33,18:37
644,18:50,18:58,19:00,19:03,19:05,19:09,19:15,19:17,19:20,19:24
646,19:30,19:37,19:39,19:42,19:44,19:48,19:54,19:56,19:59,20:03
648,20:20,20:27,20:29,20:32,20:34,20:39,20:45,20:47,20:49,20:53
650,21:00,21:06,21:08,21:11,21:13,21:17,21:23,21:25,21:28,21:32
652,22:20,22:26,22:28,22:31,22:33,22:37,22:43,22:45,22:48,22:52
