Train;6/50;8-6/54;6/76
GARES;DC;EXP;DC
KALAA KHASBA;;;12:45
OUED SARRATH;;;13:03
GOURAIA;;;13:14
FEJ ET TAMEUR;;;13:27
AIN MESRIA;;;13:38
LE KEF;;05:00;
DAHMANI;03:00;;13:53
LES ZOUARINES;03:11;;14:04
LES SALINES;03:22;;14:15
LE SERS;03:29;05:37;14:22
TRIKA;03:44(*);;14:38(*)
SIDI BOU ROUIS;03:55;05:57;14:49
EL KRIB;04:08;;15:02
EL AKHOUAT;04:20;;15:14
GAAFOUR;04:33;06:26;15:27
SIDI AYED;04:44;;15:38
EL AROUSSA;04:55;06:38;15:50
BOU ARADA;05:11;06:48;16:10
PONT DU FAHS;05:33;07:04;16:32
DEPIENNE;05:48;;16:47
BIR M'CHERGA;05:56;07:24;16:55
CHEYLUS;06:05;07:32;17:04
OUDNA;06:15;;17:14
KHELIDIA;06:20;;
NAASSEN;06:31;07:49;17:29
BIR KASSAA;06:40;07:59;17:38
JEBEL JELLOUD;06:50;;17:48
TUNIS VILLE;07:02;08:18;18:00
