Train,!Mahdia!,Ezzahra,Borj El Arif,Sidi Messoud,!Mahdia Z.Touris!,Baghdadi,Békalta,Téboulba,Téboulba Z.Ind,Moknine Z.Ind,!Moknine!,Moknine Gribaa,Ksar Hellal,Ksar Hellal Z.Ind,Sayada,Lamta,Bouhjar,!Lamta!,K.Med. Bennane,Khniss-Bembla,Monastir Z.Ind,La Faculté,!Monastir!,La Faculté,!L’Aéroport!,!Les Hotels!,Sahline Sabkha,Sahline Ville,Sousse Z.Ind,Sousse Sud,Sousse Med.V,!Sousse Bab Jedid!
506,,,,,,,,,,,,,,,,,,,,,,,5:50,5:54,6:00,6:02,6:05,6:09,6:12,6:15,6:18,6:20
508,5:15,5:19,5:22,5:25,5:29,5:32,5:39,5:43,,5:47,5:51,5:53,5:56,5:59,6:01,6:03,6:05,6:09,6:12,6:14,6:16,6:18,6:35,6:40,6:46,6:49,6:52,6:56,7:00,7:03,7:06,7:08
510,5:55,5:59,6:02,6:05,6:09,6:12,6:19,6:23,6:25,6:27,6:31,6:33,6:35,6:38,6:40,6:42,6:44,6:48,6:52,6:53,6:56,6:58,7:13,7:17,7:23,7:25,7:28,7:32,7:35,7:38,7:41,7:43
514,6:40,6:44,6:47,6:50,6:54,6:57,7:04,7:08,7:10,7:12,7:16,7:18,7:21,7:24,7:27,7:30,7:33,7:37,7:41,7:42,7:45,7:47,8:00,8:04,8:10,8:12,8:15,8:19,8:22,8:25,8:28,8:30
516,7:50,7:54,7:57,8:00,8:04,8:07,8:14,8:18,8:20,,8:26,8:28,8:30,8:33,8:36,8:38,8:40,8:44,8:48,8:49,8:53,8:54,9:10,9:14,9:20,9:22,9:25,9:29,,9:34,9:37,9:39
518,8:35,8:39,8:42,8:45,8:52,8:55,9:02,9:06,,,9:13,9:15,9:18,9:21,9:23,9:25,9:27,9:31,9:35,9:36,,9:40,9:55,9:59,10:05,10:07,10:10,10:14,,10:20,10:23,10:25
520,9:50,9:54,9:57,10:00,10:04,10:07,10:14,10:18,,,10:25,10:27,10:30,10:33,10:35,10:37,10:39,10:43,10:47,10:48,,10:53,11:10,11:14,11:20,11:22,11:25,11:29,,11:35,11:38,11:40
522,10:35,10:39,10:42,10:45,10:49,10:52,10:59,11:03,,,11:09,11:11,11:14,11:17,11:19,11:21,11:23,11:27,11:31,11:32,11:35,11:37,11:55,11:59,12:05,12:07,12:10,12:14,,12:19,12:23,12:25
524,11:25,11:29,11:32,11:35,11:39,11:42,11:49,11:53,,,12:00,12:03,12:06,12:09,12:12,12:15,12:17,12:20,12:25,12:26,12:29,12:31,12:50,12:54,13:00,13:02,13:04,13:09,13:12,13:15,13:18,13:20
526,12:10,12:14,12:17,12:19,12:24,12:27,12:34,12:38,,,12:45,12:47,12:49,12:51,12:53,12:55,12:57,13:01,13:04,13:05,13:09,13:11,13:25,13:29,13:35,13:37,13:40,13:44,13:47,13:49,13:53,13:55
528,13:15,13:19,13:22,13:25,13:33,13:36,13:43,13:47,13:48,13:50,13:55,13:57,13:59,14:02,14:05,14:07,14:09,14:13,14:17,14:18,14:22,14:23,14:40,14:44,14:50,14:52,14:55,14:59,15:02,15:05,15:08,15:10
530,14:10,14:14,14:17,14:20,14:24,14:27,14:33,14:38,,14:42,14:46,14:49,14:52,14:55,14:58,15:01,15:04,15:08,15:12,15:13,15:16,15:17,15:30,15:34,15:40,15:42,15:45,15:49,15:52,15:55,15:58,16:00
532,15:10,15:14,15:17,15:19,15:24,15:27,15:34,15:38,15:40,15:42,15:46,15:48,15:50,15:52,15:54,15:56,15:58,16:02,16:04,16:06,16:09,16:11,16:25,16:29,16:35,16:37,16:40,16:44,16:47,16:49,16:53,16:55
534,16:00,16:03,16:06,16:10,16:19,16:22,16:29,16:33,16:35,16:37,16:40,16:42,16:45,16:47,16:49,16:53,16:55,16:59,17:03,17:04,17:07,17:09,17:25,17:29,17:34,17:36,17:40,17:44,17:47,17:50,17:53,17:55
536,,,,,,,17:10,17:14,,17:18,17:22,17:24,17:27,17:29,17:32,17:33,17:36,17:41,17:44,17:46,,17:50,18:03,18:07,18:13,18:15,18:17,18:21,,18:27,18:30,18:32
538,17:30,17:33,17:36,17:40,17:47,17:50,17:57,18:01,,,18:09,18:11,18:14,18:17,18:18,18:21,18:24,18:28,18:32,18:33,,18:38,18:55,18:59,19:05,19:07,19:10,19:14,,19:20,19:23,19:25
540,18:10,18:14,18:17,18:21,18:27,18:31,18:38,18:42,,,18:49,18:51,18:54,18:56,18:59,19:01,19:03,19:07,19:11,19:12,,19:17,19:35,19:39,19:45,19:47,19:50,19:54,,19:59,20:02,20:04
542,19:25,19:29,19:32,19:35,19:44,19:47,19:54,19:58,,,20:04,20:06,20:09,20:11,20:13,20:15,20:17,20:21,20:24,20:26,,20:30,20:50,20:54,21:00,21:02,21:05,21:09,,21:15,21:18,21:20
544,20:10,20:14,20:17,20:20,20:28,20:31,20:38,20:42,,,20:49,20:51,20:54,20:57,20:59,21:01,21:03,21:07,21:11,,,,21:30,21:34,21:40,21:42,21:45,21:49,,21:55,21:58,22:00
