Train,!Sousse Bab Jedid!,Sousse Med.V,Sousse Sud,Sousse Z.Ind,Sahline Ville,Sahline Sabkha,!Les Hotels!,!L’Aéroport!,La Faculté,!Monastir!,La Faculté,Monastir Z.Ind,Khniss-Bembla,K.Med. Bennane,!Lamta!,Bouhjar,Lamta,Sayada,Ksar Hellal Z.Ind,Ksar Hellal,Moknine Gribaa,!Moknine!,Moknine Z.Ind,Téboulba Z.Ind,Téboulba,Békalta,Baghdadi,!Mahdia Z.Touris!,Sidi Messoud,Borj El Arif,Ezzahra,!Mahdia!
503,5:10,5:12,5:16,5:18,5:21,5:24,5:28,5:30,5:36,5:40,,,,,,,,,,,,,,,,,,,,,,
505,5:45,5:47,5:51,5:53,5:56,5:59,6:03,6:05,6:11,6:20,6:24,6:26,6:28,6:30,6:35,6:37,6:39,6:41,6:43,6:45,6:47,6:51,6:52,6:54,6:57,7:06,7:10,7:16,7:18,7:22,7:26,7:32
507,6:30,6:32,6:36,6:38,6:41,6:44,6:48,6:50,6:56,7:10,7:14,7:16,7:18,7:20,7:25,7:27,7:29,7:31,7:33,7:35,7:37,7:41,7:42,7:45,7:48,7:53,7:57,8:06,8:08,8:11,8:14,8:20
509,7:20,7:22,7:26,7:28,7:31,7:34,7:38,7:40,7:46,7:55,7:59,8:01,8:03,8:06,8:11,8:13,8:15,8:17,8:20,8:23,8:25,8:29,,8:32,8:35,8:40,8:44,8:50,8:52,8:55,8:58,9:04
511,8:00,8:02,8:06,8:08,8:11,8:14,8:18,8:20,8:26,8:40,8:44,8:46,8:48,8:51,8:56,8:58,9:01,9:04,9:06,9:08,9:10,9:14,,,9:19,9:24,9:27,9:33,9:35,9:38,9:41,9:46
513,9:10,9:12,9:16,,9:21,9:24,9:28,9:30,9:36,9:50,9:54,,9:58,10:01,10:06,10:08,10:10,10:12,10:15,10:18,10:20,10:26,,,10:32,10:37,10:41,10:51,10:53,10:56,10:59,11:05
515,10:10,10:12,10:16,,10:21,10:24,10:28,10:30,10:36,10:45,10:49,,10:53,10:56,11:01,11:03,11:05,11:07,11:09,11:11,11:13,11:17,,,11:23,11:28,11:32,11:41,11:43,11:46,11:49,11:55
517,11:10,11:12,11:16,11:18,11:21,11:24,11:28,11:30,11:36,11:45,11:49,,11:53,11:56,12:01,12:03,12:06,12:08,12:12,12:15,12:17,12:20,,,12:27,12:35,12:39,12:45,12:47,12:50,12:53,12:58
519,12:00,12:02,12:06,12:08,12:11,12:14,12:17,12:19,12:26,12:40,12:44,,12:48,12:50,12:55,12:57,12:59,13:01,13:02,13:04,13:06,13:11,13:12,,13:17,13:22,13:26,13:32,13:34,13:37,13:40,13:46
521,13:10,13:12,13:16,13:18,13:21,13:24,13:28,13:30,13:36,13:45,13:48,,13:53,13:56,14:01,14:03,14:05,14:08,14:11,14:14,14:16,14:20,14:21,14:23,14:26,14:35,14:40,14:46,14:48,14:51,14:54,15:00
523,13:45,13:47,13:50,13:53,13:56,13:59,14:03,14:05,14:11,14:25,14:29,14:31,14:32,14:35,14:41,14:43,14:46,14:49,14:52,14:55,14:57,15:01,,15:03,15:08,15:13,15:17,15:26,15:28,15:31,15:34,15:40
525,14:45,14:47,14:51,14:53,14:56,14:59,15:03,15:05,15:11,15:19,15:24,15:27,15:28,15:32,15:37,15:39,15:42,15:45,15:47,15:50,15:52,15:56,15:57,15:59,16:02,16:06,16:11,16:17,16:19,16:22,16:26,16:32
527,15:30,15:32,15:36,15:38,15:41,15:44,15:48,15:50,15:56,16:10,16:14,16:16,16:18,16:21,16:26,16:29,16:32,16:35,16:38,16:41,16:44,16:47,16:48,16:51,16:55,16:59,,,,,,
529,16:10,16:12,16:16,16:18,16:21,16:24,16:28,16:30,16:36,16:49,16:54,16:57,16:58,17:02,17:07,17:09,17:11,17:14,17:17,17:20,17:22,17:26,,,17:31,17:35,17:40,17:46,17:48,17:51,17:54,18:00
531,17:10,17:12,17:16,17:18,17:21,17:24,17:28,17:30,17:35,17:50,17:54,17:56,17:58,18:01,18:06,18:09,18:12,18:15,18:17,18:20,18:23,18:27,18:28,,18:32,18:40,18:44,18:50,18:52,18:55,18:58,19:04
533,18:10,18:12,18:16,18:17,18:20,18:24,18:28,18:30,18:36,18:50,18:54,18:56,18:58,19:00,19:05,19:07,19:09,19:11,19:13,19:16,19:18,19:22,,,19:28,19:33,19:37,19:43,19:45,19:48,19:51,19:57
535,18:45,18:47,18:51,,18:56,18:59,19:03,19:05,19:11,19:30,19:34,,19:38,19:40,19:45,19:48,19:51,19:54,19:57,20:00,20:02,20:06,,,20:11,20:16,20:20,20:26,20:28,20:31,20:34,20:39
537,19:40,19:42,19:46,,19:50,19:53,19:57,19:59,20:05,20:20,20:24,,20:28,20:30,20:35,20:37,20:40,20:43,20:46,20:48,20:50,20:54,,,20:59,21:04,21:08,21:14,21:16,21:19,21:22,21:28
539,20:20,20:22,20:26,,20:30,20:33,20:37,20:39,20:45,21:00,21:04,,21:08,21:11,21:16,21:18,21:20,21:22,21:24,21:27,21:29,21:33,,,21:37,21:42,21:46,21:52,21:54,21:57,22:00,22:06
