Train,5/90,12-5/52(B),22-5/54,5/58,13-5/72,5/76
Train type,DC,DC,AUT,AUT,DC,DC
TOZEUR,,,,,6:00,
ELOUEDIENE,,,,,6:12,
METLAOUI,,,,,7:20,
GAFSA,,,,,8:00,
SENED,,,,,8:47,
MAKNASSY,,,,,9:20,
GABES,0:05,,,,,10:50
GHRAIBA,1:22,,,,10:12,12:08
MAHARES,1:42,,,,10:32,12:28
SFAX ARRIVEE,2:16,,,,11:05,13:02,, 
SFAX DEPART,2:25,,,5:15,11:30,13:25,, 
SAKIET EZZIT,,,,5:41,11:55,,, 
LA HENCHA,,,,6:06,,14:16,,
EL JEM,3:30,,,6:22,12:35,14:32,,
KERKER,,,,6:44,12:57,14:54,,
MAHDIA,,,4:45,,,,,
MONASTIR,,,6:00,,,,,
MESSADDINE,,,6:28,7:12,13:25,15:22,,
SOUSSE ARRIVEE,4:37,,,7:31,13:45,15:40,, 
SOUSSE DEPART,4:50,5:10,,7:45,14:00,15:55, ,
KALAA SEGHIRA,5:03,5:32,6:36,7:58,,, ,
KALAA KEBIRA,5:12,5:32,6:45,8:06,14:22,,, 
ENFIDHA,5:40,6:01,7:12,8:33,14:50,,,
BOUFICHA,5:55,6:18,,,,,,
BIR BOU REGbA,6:09,6:34,7:39,9:01,15:18,17:08, ,
BOUARGOUB,6:21,6:46,7:50,,,, ,
GROMBALIA,6:30,6:54,7:59,9:19,15:38,17:28,,
BORJ CEDRIA,,7:08,8:13,9:33,,,
HAMMAM LIF,,,,9:43,16:02,17:51,
TUNIS VILLE,7:22,7:44,8:51,10:09,16:31,18:20,

(B) : Ce train circule tous les jours sauf les Dimanches et Fetes.
