Train,7,TM1(A),13,17
Train type,AUT,DC,DC,DC
TUNIS VILLE,6:25,8:24,13:00,16:45
MANOUBA,6:43,,13:19,17:04
JEDEIDA,7:05,,13:40,17:28
TEBOURBA,7:22,,13:53,17:41
BORJ TOUM,7:44,,14:16,18:03
MEJEZ EL BAB,8:00,,14:34,18:18
OUED ZARGA,8:19,,14:54,18:38
SIDI M'HIMECH,8:39,,15:14,18:58
BEJA,8:54,10:39,15:30,19:14
MASTOUTA,9:07,,15:43,19:27
SIDI S'MAIL,9:16,,15:56,19:36
BOU SALEM,9:32,,16:12,19:52
BEN BECHIR,9:45,,16:25,20:05
JENDOUBA,9:58,11:36,16:38,20:18
OUED MELIZ,10:18,,16:58,20:38
GHARDIMAOU* ARRIVEE,10:26,12:03,17:06,20:46
GHARDIMAOU* DEPART,,13:30,,
SOUK AHRAS* ARRIVEE,,14:47,,
SOUK AHRAS* DEPART,,15:45,,
ANNABA,,18:19
