Days;Train;TUNIS;SAYDA MANOUBIA;ENNAJAH;ETAYARANE;EZZOUHOUR 2;ELHRAYRIA;BOUGATFA 
-;401;4:40;4:44;4:46;4:49;4:51;4:53;4:55
-;403;5:00;5:04;5:06;5:09;5:11;5:13;5:15
A;405;5:20;5:24;5:26;5:29;5:31;5:33;5:35
B;407;5:30;5:34;5:36;5:39;5:41;5:43;5:45
A;409;5:40;5:44;5:46;5:49;5:51;5:53;5:55
-;411;6:00;6:04;6:06;6:09;6:11;6:13;6:15
A;413;6:20;6:24;6:26;6:29;6:31;6:33;6:35
B;415;6:30;6:34;6:36;6:39;6:41;6:43;6:45
A;417;6:40;6:44;6:46;6:49;6:51;6:53;6:55
-;419;7:00;7:04;7:06;7:09;7:11;7:13;7:15
A;421;7:20;7:24;7:26;7:29;7:31;7:33;7:35
B;423;7:30;7:34;7:36;7:39;7:41;7:43;7:45
A;425;7:40;7:44;7:46;7:49;7:51;7:53;7:55
-;427;8:00;8:04;8:06;8:09;8:11;8:13;8:15
A;429;8:20;8:24;8:26;8:29;8:31;8:33;8:35
B;431;8:25;8:29;8:31;8:34;8:36;8:38;8:40
A;433;8:40;8:44;8:46;8:49;8:51;8:53;8:55
-;435;9:00;9:04;9:06;9:09;9:11;9:13;9:15
A;437;9:20;9:24;9:26;9:29;9:31;9:33;9:35
B;439;9:30;9:34;9:36;9:39;9:41;9:43;9:45
A;441;9:40;9:44;9:46;9:49;9:51;9:53;9:55
-;443;10:00;10:04;10:06;10:09;10:11;10:13;10:15
A;445;10:20;10:24;10:26;10:29;10:31;10:33;10:35
B;447;10:30;10:34;10:36;10:39;10:41;10:43;10:45
A;449;10:40;10:44;10:46;10:49;10:51;10:53;10:55
-;451;11:00;11:04;11:06;11:09;11:11;11:13;11:15
A;453;11:20;11:24;11:26;11:29;11:31;11:33;11:35
B;455;11:30;11:34;11:36;11:39;11:41;11:43;11:45
A;457;11:40;11:44;11:46;11:49;11:51;11:53;11:55
-;459;12:00;12:04;12:06;12:09;12:11;12:13;12:15
A;461;12:20;12:24;12:26;12:29;12:31;12:33;12:35
B;463;12:30;12:34;12:36;12:39;12:41;12:43;12:45
A;465;12:40;12:44;12:46;12:49;12:51;12:53;12:55
-;467;13:02;13:06;13:08;13:11;13:13;13:15;13:17
A;469;13:20;13:24;13:26;13:29;13:31;13:33;13:35
B;471;13:30;13:34;13:36;13:39;13:41;13:43;13:45
A;473;13:40;13:44;13:46;13:49;13:51;13:53;13:55
-;475;14:00;14:04;14:06;14:09;14:11;14:13;14:15
A;477;14:20;14:24;14:26;14:29;14:31;14:33;14:35
B;479;14:30;14:34;14:36;14:39;14:41;14:43;14:45
A;481;14:40;14:44;14:46;14:49;14:51;14:53;14:55
-;483;15:00;15:04;15:06;15:09;15:11;15:13;15:15
A;485;15:20;15:24;15:26;15:29;15:31;15:33;15:35
B;487;15:30;15:34;15:36;15:39;15:41;15:43;15:45
A;489;15:40;15:44;15:46;15:49;15:51;15:53;15:55
-;491;16:00;16:04;16:06;16:09;16:11;16:13;16:15
A;493;16:20;16:24;16:26;16:29;16:31;16:33;16:35
B;495;16:30;16:34;16:36;16:39;16:41;16:43;16:45
A;497;16:40;16:44;16:46;16:49;16:51;16:53;16:55
-;499;17:00;17:04;17:06;17:09;17:11;17:13;17:15
A;501;17:20;17:24;17:26;17:29;17:31;17:33;17:35
B;503;17:30;17:34;17:36;17:39;17:41;17:43;17:45
A;505;17:40;17:44;17:46;17:49;17:51;17:53;17:55
-;507;18:00;18:04;18:06;18:09;18:11;18:13;18:15
-;509;18:30;18:34;18:36;18:39;18:41;18:43;18:45
-;511;19:00;19:04;19:06;19:09;19:11;19:13;19:15
-;513;19:30;19:34;19:36;19:39;19:41;19:43;19:45
-;515;20:00;20:04;20:06;20:09;20:11;20:13;20:15
-;517;20:30;20:34;20:36;20:39;20:41;20:43;20:45
-;519;21:00;21:04;21:06;21:09;21:11;21:13;21:15
-;521;21:30;21:34;21:36;21:39;21:41;21:43;21:45
-;523;22:00;22:04;22:06;22:09;22:11;22:13;22:15
