Days;Train;TUNIS VILLE;JEBEL JELLOULI;MEGRINE RYADH;MEGRINE JELLOULI;SIDI REZIG;LYCEE RADES;RADES;RADES MELIANE;EZ-ZAHRA;LYCEE EZZAHRA;BOU KORNIIN;HAMMAM LIF;ARRET DU STADE;TAHAR SFAR;HAMMAM LIF;BIR EL BEY;BORJ CEDRIA;ERRIADH
A;101;4:30;4:41;4:44;4:45;4:48;;4:52;4:54;4:57;5:00;5:02;5:04;5:07;5:10;5:13;5:15;5:19;5:23
-;103;5:00;5:12;5:15;5:17;5:19;;5:23;5:26;5:29;5:32;5:34;5:37;5:40;5:43;5:46;5:48;5:53;5:57
A;105;5:30;5:42;5:45;5:47;5:49;;5:53;5:56;5:59;6:02;6:04;6:06;6:09;6:11;6:14;6:16;6:20;6:24
A;109;5:55;6:07;6:10;6:12;6:14;;6:18;6:21;6:24;6:27;6:29;6:32;6:35;6:38;6:41;6:43;6:48;6:52
B;111;6:00;6:12;6:15;6:17;6:19;6:22;6:24;6:27;6:30;6:33;6:35;6:38;6:41;6:43;6:46;6:48;6:53;6:57
A;115;6:20;6:32;6:35;6:37;6:40;6:42;6:45;6:48;6:51;6:54;6:56;6:58;7:01;7:04;7:07;7:09;7:14;7:18
B;117;6:30;6:42;6:45;6:47;6:49;;6:53;6:56;6:59;7:02;7:04;7:07;7:10;7:13;7:16;7:18;7:23;7:27
A;119;6:40;6:52;6:55;6:57;6:59;7:02;7:04;7:07;7:10;7:13;7:15;7:17;7:20;7:23;7:26;7:28;7:33;7:37
-;121;7:00;7:12;7:15;7:17;7:20;7:23;7:25;7:28;7:31;7:34;7:36;7:39;7:42;7:44;7:47;7:49;7:53;7:57
A;123;7:15;7:26;7:29;7:31;7:34;7:36;7:39;7:42;7:45;7:48;7:50;7:57;8:00;8:03;8:06;8:08;8:12;8:16
B;125;7:30;7:42;7:45;7:47;7:50;7:53;7:55;7:58;8:01;8:04;8:06;8:09;8:12;8:14;8:17;8:19;8:23;8:27
A;127;7:35;7:46;7:49;7:51;7:53;7:56;7:59;8:02;8:05;8:08;8:10;8:12;8:15;8:18;8:21;8:23;8:28;8:32
C;131;7:50;8:01;8:04;8:06;8:08;8:11;8:14;8:17;8:20;8:23;8:25;8:27;8:30;8:33;8:36;8:38;8:43;8:47
D;133;8:00;8:11;8:14;8:16;8:18;8:21;8:23;8:26;8:29;8:32;8:34;8:38;8:41;8:44;8:47;8:49;8:54;8:58
C;135;8:10;8:21;8:24;8:26;8:28;8:31;8:34;8:37;8:40;8:43;8:45;8:47;8:50;8:53;8:56;8:58;9:03;9:07
-;137;8:30;8:40;8:43;8:45;8:47;;8:51;8:54;8:57;9:00;9:02;9:05;9:08;9:11;9:14;9:16;9:20;9:24
-;141;9:00;9:10;9:13;9:15;9:17;9:20;9:23;9:26;9:29;9:32;9:34;9:36;9:39;9:42;9:45;9:47;9:52;9:56
A;143;9:20;9:30;9:33;9:35;9:38;;9:42;9:46;9:49;9:52;9:54;9:57;10:00;10:03;10:06;10:08;10:13;10:17
B;145;9:30;9:41;9:44;9:46;9:48;9:51;9:54;9:57;10:00;10:03;10:05;10:07;10:10;10:13;10:15;10:17;10:22;10:26
