Train,TUNIS,SAYDA MANOUBIA,MELLASSINE,ERRAOUDHA,LE BARDO,ELBORTAL,MANOUBA,LES ORANGERS,GOBAA,GOBAA VILLE
601,4:00,4:04,4:06,4:08,4:14,4:19,4:21,4:23,4:26,4:30
603,4:25,4:29,4:31,4:33,4:39,4:44,4:46,4:48,4:51,4:55
605,5:10,5:14,5:16,5:18,5:24,5:29,5:31,5:33,5:36,5:40
607,5:15,5:19,5:21,5:22,5:28,5:33,6:00,6:01,6:05,6:09
609,6:35,6:39,6:41,6:43,6:49,6:54,6:56,6:58,7:01,7:05
611,7:15,7:19,7:21,7:23,7:29,7:34,7:36,7:38,7:41,7:45
613,8:30,8:34,8:36,8:38,8:44,8:49,8:51,8:53,8:56,9:00
615,9:10,9:14,9:16,9:18,9:24,9:29,9:31,9:33,9:36,9:40
617,10:05,10:09,10:11,10:13,10:19,10:24,10:26,10:28,10:31,10:35
619,10:45,10:49,10:51,10:53,10:59,11:04,11:06,11:08,11:11,11:15
621,11:25,11:29,11:31,11:33,11:39,11:44,11:46,11:48,11:51,11:55
623,12:05,12:09,12:11,12:13,12:19,12:24,12:26,12:28,12:31,12:35
627,13:05,13:09,13:11,13:13,13:19,13:24,13:26,13:28,13:31,13:35
629,13:45,13:49,13:51,13:53,13:59,14:04,14:06,14:08,14:10,14:14
631,14:25,14:29,14:31,14:33,14:38,14:43,14:45,14:47,14:50,14:54
633,15:02,15:06,15:08,15:10,15:16,15:21,15:23,15:25,15:28,15:32
637,16:05,16:09,16:11,16:13,16:19,16:24,16:26,16:28,16:31,16:35
639,16:55,16:59,17:01,17:03,17:09,17:14,17:16,17:18,17:21,17:25
641,17:50,17:54,17:56,17:58,18:05,18:09,18:12,18:14,18:17,18:21
643,18:45,18:49,18:51,18:53,18:59,19:04,19:06,19:08,19:11,19:16
645,19:25,19:29,19:31,19:33,19:39,19:44,19:46,19:48,19:51,19:55
647,20:15,20:19,20:21,20:23,20:29,20:34,20:36,20:38,20:41,20:45
649,20:55,20:59,21:01,21:03,21:08,21:13,21:15,21:17,21:20,21:24
651,21:45,21:49,21:51,21:53,21:59,22:04,22:06,22:08,22:11,22:15
