Train;6/51;6/65;6-8/69
Train type;DC;DC;EXP
TUNIS VILLE;05:55;14:15;15:45
JEBEL JELLOUD;06:09;;
BIR KASSAA;06:21;14:39;16:07
NAASSEN;06:32;14:48;16:15
KHELIDIA;06:43;14:59;
OUDNA;06:48;15:04;
CHEYLUS;06:58;15:14;16:32
BIR M'CHERGA;07:07;15:24;16:40
DEPIENNE;07:17;15:32;16:48
PONT DU FAHS;07:32;15:47;17:00
BOU ARADA;07:54;16:09;17:18
EL AROUSSA;08:10;16:25;17:32
SIDI AYED;08:21;16:36;
GAAFOUR;08:33;16:48;17:48
EL AKHOUAT;08:45;17:00;
EL KRIB;08:57;17:12;
SIDI BOU ROUIS;09:10;17:25;18:16
TRIKA;09:21(*);17:36(*);
LE SERS;09:37;17:52;18:35
LES SALINES;09:44;17:59;
LES ZOUARINES;09:55;18:10;
DAHMANI;10:06;18:20;
LE KEF;;;19:11
AIN MESRIA;10:21;;
FEJ ET TAMEUR;10:32;;
GOURAIA;10:45;;
OUED SARRATH;10:56;;
KALAA KHASBA;11:13;;
