fare_id,route_id,origin_id,destination_id,contains_id
14,19,130E,160P,
14,19,120S,160P,
14,19,120S,159N,
14,19,120S,158M,
14,19,130E,157L,
14,19,120S,157L,
14,19,120S,156K,
14,19,160P,130E,
14,19,157L,130E,
14,19,160P,120S,
14,19,159N,120S,
14,19,158M,120S,
14,19,157L,120S,
14,19,156K,120S,
13,19,146Y,160P,
13,19,146Y,160P,
13,19,144X,160P,
13,19,143W,160P,
13,19,142T,160P,
13,19,141S,160P,
13,19,146Y,159N,
13,19,146Y,159N,
13,19,144X,159N,
13,19,143W,159N,
13,19,142T,159N,
13,19,141S,159N,
13,19,130E,159N,
13,19,146Y,158M,
13,19,144X,158M,
13,19,143W,158M,
13,19,142T,158M,
13,19,141S,158M,
13,19,130E,158M,
13,19,146Y,157L,
13,19,146Y,157L,
13,19,144X,157L,
13,19,143W,157L,
13,19,142T,157L,
13,19,141S,157L,
13,19,146Y,156K,
13,19,144X,156K,
13,19,143W,156K,
13,19,142T,156K,
13,19,141S,156K,
13,19,130E,156K,
13,19,143W,155J,
13,19,142T,155J,
13,19,141S,155J,
13,19,130E,155J,
13,19,120S,155J,
13,25,143W,154H,
13,25,142T,154H,
13,25,141S,154H,
13,25,130E,154H,
13,25,120S,154H,
13,25,143W,153G,
13,25,142T,153G,
13,25,141S,153G,
13,25,130E,153G,
13,25,120S,153G,
13,25,143W,152F,
13,25,142T,152F,
13,25,141S,152F,
13,25,130E,152F,
13,25,120S,152F,
13,25,130E,151E,
13,25,120S,151E,
13,19,160P,146Z,
13,19,159N,146Z,
13,19,157L,146Z,
13,25,130E,146Z,
13,25,120S,146Z,
13,19,160P,146Y,
13,19,159N,146Y,
13,19,158M,146Y,
13,19,157L,146Y,
13,19,156K,146Y,
13,19,160P,144X,
13,19,159N,144X,
13,19,158M,144X,
13,19,157L,144X,
13,19,156K,144X,
13,19,160P,143W,
13,19,159N,143W,
13,19,158M,143W,
13,19,157L,143W,
13,19,156K,143W,
13,19,155J,143W,
13,25,154H,143W,
13,25,153G,143W,
13,25,152F,143W,
13,19,160P,142T,
13,19,159N,142T,
13,19,158M,142T,
13,19,157L,142T,
13,19,156K,142T,
13,19,155J,142T,
13,25,154H,142T,
13,25,153G,142T,
13,25,152F,142T,
13,19,160P,141S,
13,19,159N,141S,
13,19,158M,141S,
13,19,157L,141S,
13,19,156K,141S,
13,19,155J,141S,
13,25,154H,141S,
13,25,153G,141S,
13,25,152F,141S,
13,19,159N,130E,
13,19,158M,130E,
13,19,156K,130E,
13,19,155J,130E,
13,25,154H,130E,
13,25,153G,130E,
13,25,152F,130E,
13,25,151E,130E,
13,25,146Y,130E,
13,19,155J,120S,
13,25,154H,120S,
13,25,153G,120S,
13,25,152F,120S,
13,25,151E,120S,
13,25,146Y,120S,
12,19,159N,160P,
12,19,158M,160P,
12,19,157L,160P,
12,19,156K,160P,
12,19,155J,160P,
12,19,154H,160P,
12,19,153G,160P,
12,19,152F,160P,
12,19,151E,160P,
12,19,160P,159N,
12,19,158M,159N,
12,19,157L,159N,
12,19,156K,159N,
12,19,155J,159N,
12,19,154H,159N,
12,19,153G,159N,
12,19,152F,159N,
12,19,151E,159N,
12,19,160P,158M,
12,19,159N,158M,
12,19,157L,158M,
12,19,156K,158M,
12,19,155J,158M,
12,19,154H,158M,
12,19,153G,158M,
12,19,152F,158M,
12,19,151E,158M,
12,19,146Y,158M,
12,19,160P,157L,
12,19,159N,157L,
12,19,158M,157L,
12,19,156K,157L,
12,19,155J,157L,
12,19,154H,157L,
12,19,153G,157L,
12,19,152F,157L,
12,19,151E,157L,
12,19,160P,156K,
12,19,159N,156K,
12,19,158M,156K,
12,19,157L,156K,
12,19,155J,156K,
12,19,154H,156K,
12,19,153G,156K,
12,19,152F,156K,
12,19,151E,156K,
12,19,146Y,156K,
12,19,160P,155J,
12,19,159N,155J,
12,19,158M,155J,
12,19,157L,155J,
12,19,156K,155J,
12,19,154H,155J,
12,19,153G,155J,
12,19,152F,155J,
12,19,151E,155J,
12,19,146Y,155J,
12,19,146Y,155J,
12,19,144X,155J,
12,19,160P,154H,
12,19,159N,154H,
12,19,158M,154H,
12,19,157L,154H,
12,19,156K,154H,
12,19,155J,154H,
12,25,153G,154H,
12,25,152F,154H,
12,25,151E,154H,
12,25,146Y,154H,
12,25,146Y,154H,
12,25,144X,154H,
12,19,160P,153G,
12,19,159N,153G,
12,19,158M,153G,
12,19,157L,153G,
12,19,156K,153G,
12,19,155J,153G,
12,25,154H,153G,
12,25,152F,153G,
12,25,151E,153G,
12,25,146Y,153G,
12,25,146Y,153G,
12,25,144X,153G,
12,19,160P,152F,
12,19,159N,152F,
12,19,158M,152F,
12,19,157L,152F,
12,19,156K,152F,
12,19,155J,152F,
12,25,154H,152F,
12,25,153G,152F,
12,25,151E,152F,
12,25,146Y,152F,
12,25,146Y,152F,
12,25,144X,152F,
12,19,160P,151E,
12,19,159N,151E,
12,19,158M,151E,
12,19,157L,151E,
12,19,156K,151E,
12,19,155J,151E,
12,25,154H,151E,
12,25,153G,151E,
12,25,152F,151E,
12,25,146Y,151E,
12,25,146Y,151E,
12,25,144X,151E,
12,25,143W,151E,
12,25,142T,151E,
12,25,141S,151E,
12,19,158M,146Z,
12,19,156K,146Z,
12,19,155J,146Z,
12,25,154H,146Z,
12,25,153G,146Z,
12,25,152F,146Z,
12,25,151E,146Z,
12,25,146Y,146Z,
12,25,144X,146Z,
12,25,143W,146Z,
12,25,142T,146Z,
12,25,141S,146Z,
12,19,155J,146Y,
12,25,154H,146Y,
12,25,153G,146Y,
12,25,152F,146Y,
12,25,151E,146Y,
12,25,146Y,146Y,
12,26,144X,146Y,
12,26,143W,146Y,
12,26,142T,146Y,
12,26,141S,146Y,
12,26,130E,146Y,
12,26,120S,146Y,
12,19,155J,144X,
12,25,154H,144X,
12,25,153G,144X,
12,25,152F,144X,
12,25,151E,144X,
12,25,146Y,144X,
12,26,146Y,144X,
12,26,143W,144X,
12,26,142T,144X,
12,26,141S,144X,
12,26,130E,144X,
12,26,120S,144X,
12,25,151E,143W,
12,25,146Y,143W,
12,26,146Y,143W,
12,26,144X,143W,
12,26,142T,143W,
12,26,141S,143W,
12,26,130E,143W,
12,26,120S,143W,
12,25,151E,142T,
12,25,146Y,142T,
12,26,146Y,142T,
12,26,144X,142T,
12,26,143W,142T,
12,26,141S,142T,
12,26,130E,142T,
12,26,120S,142T,
12,25,151E,141S,
12,25,146Y,141S,
12,26,146Y,141S,
12,26,144X,141S,
12,26,143W,141S,
12,26,142T,141S,
12,26,130E,141S,
12,26,120S,141S,
12,26,146Y,130E,
12,26,144X,130E,
12,26,143W,130E,
12,26,142T,130E,
12,26,141S,130E,
12,26,120S,130E,
12,26,146Y,120S,
12,26,144X,120S,
12,26,143W,120S,
12,26,142T,120S,
12,26,141S,120S,
12,26,130E,120S,
1,1,231A,232B,
1,1,231A,233C,
1,1,231A,234D,
